data,1USD,1EUR,pelny numer tabeli
20190102,3.7619,4.3016,001/A/NBP/2019
20190103,3.7827,4.3030,002/A/NBP/2019
20190104,3.7720,4.3018,003/A/NBP/2019
20190107,3.7575,4.2989,004/A/NBP/2019
20190108,3.7559,4.3013,005/A/NBP/2019
20190109,3.7509,4.2989,006/A/NBP/2019
20190110,3.7360,4.3055,007/A/NBP/2019
20190111,3.7289,4.2957,008/A/NBP/2019
20190114,3.7458,4.2936,009/A/NBP/2019
20190115,3.7542,4.2922,010/A/NBP/2019
20190116,3.7619,4.2929,011/A/NBP/2019
20190117,3.7615,4.2875,012/A/NBP/2019
20190118,3.7694,4.2964,013/A/NBP/2019
20190121,3.7751,4.2928,014/A/NBP/2019
20190122,3.7727,4.2862,015/A/NBP/2019
20190123,3.7747,4.2867,016/A/NBP/2019
20190124,3.7844,4.2942,017/A/NBP/2019
20190125,3.7893,4.2935,018/A/NBP/2019
20190128,3.7592,4.2885,019/A/NBP/2019
20190129,3.7563,4.2974,020/A/NBP/2019
20190130,3.7577,4.2952,021/A/NBP/2019
20190131,3.7271,4.2802,022/A/NBP/2019
20190201,3.7243,4.2706,023/A/NBP/2019
20190204,3.7408,4.2813,024/A/NBP/2019
20190205,3.7542,4.2869,025/A/NBP/2019
20190206,3.7706,4.2936,026/A/NBP/2019
20190207,3.7919,4.3019,027/A/NBP/2019
20190208,3.8040,4.3082,028/A/NBP/2019
20190211,3.8190,4.3172,029/A/NBP/2019
20190212,3.8380,4.3268,030/A/NBP/2019
20190213,3.8261,4.3312,031/A/NBP/2019
20190214,3.8516,4.3394,032/A/NBP/2019
20190215,3.8326,4.3243,033/A/NBP/2019
20190218,3.8286,4.3317,034/A/NBP/2019
20190219,3.8311,4.3303,035/A/NBP/2019
20190220,3.8221,4.3371,036/A/NBP/2019
20190221,3.8247,4.3322,037/A/NBP/2019
20190222,3.8242,4.3387,038/A/NBP/2019
20190225,3.8241,4.3402,039/A/NBP/2019
20190226,3.8124,4.3338,040/A/NBP/2019
20190227,3.7886,4.3173,041/A/NBP/2019
20190228,3.7853,4.3120,042/A/NBP/2019
20190301,3.7920,4.3079,043/A/NBP/2019
20190304,3.7893,4.2984,044/A/NBP/2019
20190305,3.7977,4.3018,045/A/NBP/2019
20190306,3.8038,4.2992,046/A/NBP/2019
20190307,3.8038,4.3019,047/A/NBP/2019
20190308,3.8409,4.3068,048/A/NBP/2019
20190311,3.8199,4.2983,049/A/NBP/2019
20190312,3.8116,4.2976,050/A/NBP/2019
20190313,3.8077,4.3006,051/A/NBP/2019
20190314,3.8018,4.3015,052/A/NBP/2019
20190315,3.8014,4.3037,053/A/NBP/2019
20190318,3.7876,4.2993,054/A/NBP/2019
20190319,3.7823,4.2940,055/A/NBP/2019
20190320,3.7767,4.2864,056/A/NBP/2019
20190321,3.7581,4.2870,057/A/NBP/2019
20190322,3.7948,4.2894,058/A/NBP/2019
20190325,3.7966,4.2978,059/A/NBP/2019
20190326,3.7969,4.2970,060/A/NBP/2019
20190327,3.8113,4.2991,061/A/NBP/2019
20190328,3.8202,4.2998,062/A/NBP/2019
20190329,3.8365,4.3013,063/A/NBP/2019
20190401,3.8267,4.3035,064/A/NBP/2019
20190402,3.8403,4.3004,065/A/NBP/2019
20190403,3.8192,4.2941,066/A/NBP/2019
20190404,3.8215,4.2921,067/A/NBP/2019
20190405,3.8215,4.2921,068/A/NBP/2019
20190408,3.8188,4.2897,069/A/NBP/2019
20190409,3.8003,4.2871,070/A/NBP/2019
20190410,3.8023,4.2852,071/A/NBP/2019
20190411,3.7964,4.2821,072/A/NBP/2019
20190412,3.7899,4.2847,073/A/NBP/2019
20190415,3.7789,4.2770,074/A/NBP/2019
20190416,3.7802,4.2737,075/A/NBP/2019
20190417,3.7778,4.2750,076/A/NBP/2019
20190418,3.8002,4.2790,077/A/NBP/2019
20190419,3.8051,4.2802,078/A/NBP/2019
20190423,3.8118,4.2886,079/A/NBP/2019
20190424,3.8229,4.2895,080/A/NBP/2019
20190425,3.8537,4.2959,081/A/NBP/2019
